data_type,display_in_jbrowse,show_feature_label,label,comment,assayed_gene_product,background,alleles,mutant(s),conditions,growth_phase_or_response,strand,assay_type,first_author,publication_year,pmed_id,DB,study_id,sample_id,short_description,data_file_type,source_url
Genome sequence and features,yes,yes,DNA sequence,,,h-,WT,not applicable,,not applicable,,not specified,Wood,2002,11859360,,not available,,,,
Genome sequence and features,yes,yes,PomBase forward strand features,,,,not applicable,not applicable,,not applicable,,not specified,Wood,2002,11859360,,not available,,,,
Genome sequence and features,yes,yes,PomBase reverse strand features,,,,not applicable,not applicable,,not applicable,,not specified,Wood,2002,11859360,,not available,,,,
Chromatin binding,yes,yes,Arb1 chromatin binding sites in clr4delta during vegetative growth; repeat 1 - Woolcock et al. (2011),,arb1,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600395,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_22.bw
Chromatin binding,yes,yes,Arb1 chromatin binding sites in clr4delta during vegetative growth; repeat 2 - Woolcock et al. (2011),,arb1,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600397,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_24.bw
Chromatin binding,yes,yes,Arb1 chromatin binding sites in clr4delta during vegetative growth; repeat 3 - Woolcock et al. (2011),,arb1,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600400,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_27.bw
Chromatin binding,yes,yes,Arb1 chromatin binding sites during vegetative growth; repeat 1 - Woolcock et al. (2011),,arb1,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600386,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_13.bw
Chromatin binding,yes,yes,Arb1 chromatin binding sites during vegetative growth; repeat 2 - Woolcock et al. (2011),,arb1,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600389,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_16.bw
Chromatin binding,yes,yes,Arb1 chromatin binding sites during vegetative growth; repeat 3 - Woolcock et al. (2011),,arb1,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600392,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_19.bw
Chromatin binding,yes,yes,Dcr1 chromatin binding sites clr4delta during vegetative growth; repeat 1 - Woolcock et al. (2011),,dcr1,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600394,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_21.bw
Chromatin binding,yes,yes,Dcr1 chromatin binding sites in clr4delta during vegetative growth; repeat 2 - Woolcock et al. (2011),,dcr1,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600396,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_23.bw
Chromatin binding,yes,yes,Dcr1 chromatin binding sites in clr4delta during vegetative growth; repeat 3 - Woolcock et al. (2011),,dcr1,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600399,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_26.bw
Chromatin binding,yes,yes,Dcr1 chromatin binding sites during vegetative growth; repeat 1 - Woolcock et al. (2011),,dcr1,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600385,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_12.bw
Chromatin binding,yes,yes,Dcr1 chromatin binding sites during vegetative growth; repeat 2 - Woolcock et al. (2011),,dcr1,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600388,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_15.bw
Chromatin binding,yes,yes,Dcr1 chromatin binding sites during vegetative growth; repeat 3 - Woolcock et al. (2011),,dcr1,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600391,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_18.bw
Chromatin binding,yes,yes,Rdp1 chromatin binding sites in clr4delta during vegetative growth; repeat 1 - Woolcock et al. (2011),,rdp1,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600398,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_25.bw
Chromatin binding,yes,yes,Rdp1 chromatin binding sites in clr4delta during vegetative growth; repeat 2 - Woolcock et al. (2011),,rdp1,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600401,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_28.bw
Chromatin binding,yes,yes,Rdp1 chromatin binding sites in clr4delta during vegetative growth; repeat 3 - Woolcock et al. (2011),,rdp1,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600402,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_29.bw
Chromatin binding,yes,yes,Rdp1 chromatin binding sites during vegetative growth; repeat 1 - Woolcock et al. (2011),,rdp1,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600387,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_14.bw
Chromatin binding,yes,yes,Rdp1 chromatin binding sites during vegetative growth; repeat 2 - Woolcock et al. (2011),,rdp1,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600390,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_17.bw
Chromatin binding,yes,yes,Rdp1 chromatin binding sites during vegetative growth; repeat 3 - Woolcock et al. (2011),,rdp1,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600393,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_20.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites in clr4delta during vegetative growth; repeat 1 - Woolcock et al. (2011),,swi6,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600375,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_02.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites in clr4delta during vegetative growth; repeat 2 - Woolcock et al. (2011),,swi6,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600378  ,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_05.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites in clr4delta during vegetative growth; repeat 3 - Woolcock et al. (2011),,swi6,,mutant,clr4delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600381,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_08.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites in dcr1delta during vegetative growth; repeat 2 - Woolcock et al. (2011),,swi6,,mutant,dcr1delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600384,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_11.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites in dcr1delta during vegetative growth; repeat 1 - Woolcock et al. (2011),,swi6,,mutant,dcr1delta,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600383,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_10.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites during vegetative growth; (control channel:clr4delta) repeat 1 - Woolcock et al. (2011),,swi6,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600376,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_03.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites during vegetative growth; (control channel: clr4delta) repeat 2 - Woolcock et al. (2011),,swi6,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600379,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_06.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites during vegetative growth; (control channel: clr4delta) repeat 3 - Woolcock et al. (2011),,swi6,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600382,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_09.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites during vegetative growth; (control channel: dam only) repeat 1 - Woolcock et al. (2011),,swi6,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600374,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_01.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites during vegetative growth; (control channel: dam only) repeat 2 - Woolcock et al. (2011),,swi6,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600377,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_04.bw
Chromatin binding,yes,yes,Swi6 chromatin binding sites during vegetative growth; (control channel: dam only) repeat 3 - Woolcock et al. (2011),,swi6,,WT,not applicable,,vegetative growth,,DamID,Woolcock,2011,21151114,GEO,GSE24360,GSM600380,,bigWig,https://www.pombase.org/external_datasets/GSE24360/GSE24360_expr_M_CorV2_07.bw
Intron Branch Point,yes,no,Intron Branch Points - Bitton et al. (2014),,,,WT,not applicable,,vegetative growth,,RNA-Seq,Bitton,2014,24709818,,not available,,,bed,https://www.pombase.org/external_datasets/Bitton_2014_intron_branch_point/BranchPoint_v2.bed.gz
Nucleosome positioning,yes,yes,Nucleosome positioning at meiosis 0h - Soriano et al. (2013),,,h-/h-  pat1-114,WT,not applicable,"nitrogen starvation, high temperature",meiosis,,Single-end sequencing,Soriano,2013,24256300,GEO,GSE41773,GSM1024000,,bigWig,https://www.pombase.org/external_datasets/GSE41773/GSM1024000_MN_Mei0h.bw
Nucleosome positioning,yes,yes,Nucleosome positioning at meiosis 3h - Soriano et al. (2013),,,h-/h-  pat1-114,WT,not applicable,"nitrogen starvation, high temperature",meiosis,,Single-end sequencing,Soriano,2013,24256300,GEO,GSE41773,GSM1024001,,bigWig,https://www.pombase.org/external_datasets/GSE41773/GSM1024001_MN_Mei3h.bw
Nucleosome positioning,yes,yes,Nucleosome positioning at meiosis 5h - Soriano et al. (2013),,,h-/h-  pat1-114,WT,not applicable,"nitrogen starvation, high temperature",meiosis,,Single-end sequencing,Soriano,2013,24256300,GEO,GSE41773,GSM1024002,,bigWig,https://www.pombase.org/external_datasets/GSE41773/GSM1024002_MN_Mei5h.bw
Nucleosome positioning,yes,yes,Nucleosome positioning during vegetative growth - Soriano et al. (2013),,,h-/h-  pat1-114,WT,not applicable,"minimal medium, standard temperature",vegetative growth,,Single-end sequencing,Soriano,2013,24256300,GEO,GSE41773,GSM1024004,,bigWig,https://www.pombase.org/external_datasets/GSE41773/GSM1024004_MN_Mit_pat1.114.bw
